code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,riseDays
688466,N金科,环境保护,北京,353.7,0.23,1.03,6.58,5.48,0.29,0.76,0.73,0.037000000000000005,8.81,5.94,20200508,1.72,1.68,0.0,0.0,31.0,6.62,22899.0,1
000825,太钢不锈,特种钢,山西,35.27,56.96,56.96,696.78,225.65,427.81,67.72,1.19,0.026000000000000002,5.63,0.66,19981021,166.93,2.93,-8.73,-56.66,8.33,0.96,177283.0,5
300022,吉峰科技,农用机械,四川,0.0,3.43,3.8,21.47,18.16,1.5,2.09,0.55,-0.031,0.19,25.62,20091030,-5.36,-1.41,-10.44,69.19,18.67,-3.28,28739.0,2
002536,飞龙股份,汽车配件,河南,29.02,4.71,5.01,38.39,17.94,15.1,9.28,1.85,0.05,4.23,1.37,20110111,6.04,1.21,-9.4,-10.34,21.02,3.81,30000.0,1
300459,金科文化,互联网,浙江,10.65,22.7,35.44,82.48,33.08,3.66,21.31,0.6,0.061,1.09,2.4,20150515,-12.07,-0.34,-30.35,-13.08,85.09,48.13,57226.0,1
002400,省广集团,广告包装,广东,69.64,16.75,17.43,91.82,55.38,6.75,14.05,0.81,0.019,3.1,1.73,20100506,20.19,1.16,2.33,-46.81,10.56,1.47,59707.0,2
603318,派思股份,专用机械,辽宁,0.0,4.02,4.02,16.56,6.96,7.16,5.09,1.27,-0.024,2.23,3.34,20150424,-0.53,-0.13,144.81,62.38,8.44,-6.98,26122.0,1
600237,铜峰电子,元器件,安徽,0.0,5.64,5.64,16.49,8.73,7.01,8.42,1.49,-0.01,1.93,2.15,20000609,-3.84,-0.68,-7.28,62.85,13.22,-2.81,71558.0,1
002375,亚厦股份,装修装饰,浙江,60.65,13.31,13.4,205.08,168.09,7.86,19.09,1.42,0.040999999999999995,6.02,1.66,20100323,46.36,3.46,-24.97,-33.92,15.4,3.73,32773.0,3
300830,金现代,软件服务,山东,3757.47,0.86,4.3,7.56,6.76,0.26,0.06,0.01,0.001,2.42,3.17,20200506,3.19,0.74,0.0,0.0,44.22,0.46,161760.0,3
